Commitments of Traders Historical Report for "CAD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Feb 09, 2021","158454","44274","34746","68785","104440","43445","17318","5063","74802","51534","27556","29991","26685"
"Feb 02, 2021","158155","46645","30549","69432","108690","40145","16983","3084","80729","55128","25512","31846","23689"
"Jan 26, 2021","168896","53680","39910","70471","110818","43253","16676","2938","84189","59033","24387","36085","33594"
"Jan 19, 2021","154231","43633","33307","69173","100943","38693","17249","2806","73125","58206","26507","26324","26181"
"Jan 12, 2021","156675","43386","31313","70977","105045","39924","17929","3394","77231","59057","23678","27093","26778"
"Jan 05, 2021","156124","41560","27036","71354","109613","40770","17035","3123","84636","60449","18220","25583","25534"
"Dec 29, 2020","154464","42178","26810","69745","111061","40077","14129","3118","87384","61555","18527","25676","24487"
"Dec 21, 2020","156597","43198","33113","69708","107047","41218","13964","2882","83913","63844","18221","25148","31066"
"Dec 15, 2020","196230","39856","55572","107352","122442","45778","14972","6949","62614","61545","17614","22436","54272"
"Dec 08, 2020","163589","34713","55451","77949","85688","45430","16953","6804","61872","65602","20069","20666","52151"
"Dec 01, 2020","147803","28702","49945","74790","79728","41133","14952","5571","58774","63608","19974","15500","45472"
"Nov 24, 2020","140823","31529","48375","70279","74745","37118","15806","5175","54910","58367","19052","18756","43423"
"Nov 17, 2020","136614","26205","46564","72094","72587","35960","15108","6139","49343","58811","23790","15075","40384"
"Nov 10, 2020","136456","25962","47311","71253","71346","37218","15776","5859","48715","58657","21266","15400","43535"
"Nov 03, 2020","124892","21549","42235","70230","63111","31913","18346","5318","42637","59833","20895","11009","37881"
"Oct 27, 2020","122403","24739","42808","64900","60423","30986","17394","5328","37720","56129","22311","13024","39259"
"Oct 20, 2020","123266","24725","43800","64516","58059","31377","18759","5073","35304","56504","19774","13348","43776"
"Oct 13, 2020","121956","24638","38202","63693","61172","31648","20605","4067","37627","56207","18395","12775","40373"
"Oct 06, 2020","113818","20808","38855","62803","52103","28349","21002","3066","30092","52623","17511","12222","39706"
"Sep 29, 2020","113862","21619","40567","59778","52569","31261","19522","2447","29017","50172","21123","14297","39356"
"Sep 22, 2020","117564","23588","42470","61980","57005","30887","16980","3004","34404","53059","20083","15578","41064"
"Sep 15, 2020","147273","28909","45852","69085","82605","47774","17311","2522","51454","50821","21273","18973","40899"
"Sep 08, 2020","137618","29626","46981","73353","69632","32726","19092","13438","43468","51603","23237","18811","41230"
"Sep 01, 2020","140520","26590","53596","76403","66642","36141","18896","16262","39546","47951","23193","19491","48996"
"Aug 25, 2020","129557","21590","50908","75116","57447","31342","19693","16771","32743","45626","23607","16181","44751"
"Aug 18, 2020","141600","19497","53084","88099","66794","33162","20880","31172","39827","43841","25281","14263","47435"
"Aug 11, 2020","136885","17256","46803","85901","68214","32872","21012","30236","44589","41064","19587","13114","43422"
"Aug 04, 2020","137101","19907","43102","83036","69563","32650","22928","29585","44390","38747","17078","14532","42810"
"Jul 28, 2020","139397","32105","44601","74931","70498","30401","22338","26556","44862","39839","15968","20107","45716"
"Jul 21, 2020","143606","34284","50982","78161","68570","29460","22353","28663","43678","39625","16518","23063","50592"
"Jul 14, 2020","148003","27642","47417","94450","75090","25083","24668","17660","22359","39849","20840","16852","43179"
"Jul 07, 2020","121226","31660","48478","64037","46157","24616","25678","15796","21185","40747","21366","19498","44126"
"Jun 30, 2020","118197","28174","48693","63828","44799","25223","23733","13483","20102","42186","21108","16878","44408"
"Jun 23, 2020","105412","22852","43686","55180","37083","26249","23512","10724","13892","37329","18755","10913","40840"
