Commitments of Traders Historical Report for "GBP"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Nov 24, 2020","142958","30838","47968","78518","67942","30382","23828","18948","11530","50906","48564","28774","40266"
"Nov 17, 2020","139010","27454","47200","81874","65217","27693","24604","24117","9438","46670","49247","29424","39361"
"Nov 10, 2020","141346","27872","45567","85903","67487","25777","26498","29278","10122","44109","52471","31009","35828"
"Nov 03, 2020","140437","27701","38928","86101","72747","24303","26430","35577","13478","39571","59397","31120","26652"
"Oct 27, 2020","139984","31799","38459","78492","71539","27259","27552","26970","13466","44232","57322","32381","27888"
"Oct 20, 2020","146356","39836","41836","80189","75863","23464","25790","28535","14140","44170","68057","40082","23650"
"Oct 13, 2020","148279","36195","45997","83165","72738","27739","28364","29279","15213","44704","62276","37686","28781"
"Oct 06, 2020","156467","40698","51996","88441","76075","25136","26204","37610","15047","44350","70082","40530","31490"
"Sep 29, 2020","159049","39216","51961","88988","78464","25461","23240","42201","13988","40849","74798","37936","30618"
"Sep 22, 2020","152613","43487","40523","77199","81786","26869","25246","25849","16737","45039","68002","41137","25110"
"Sep 15, 2020","149989","43801","41508","72246","81090","29048","22497","19853","19724","46506","62361","40859","28052"
"Sep 08, 2020","197524","46590","33860","111518","127170","29992","27070","34380","36658","51008","61391","37242","24711"
"Sep 01, 2020","186588","49213","42901","93942","114063","35981","22172","30712","46904","57777","57601","40281","35674"
"Aug 25, 2020","175363","45390","39790","92696","106546","31076","22826","32696","35962","52230","60245","38327","32539"
"Aug 18, 2020","187043","54310","47806","93117","110889","33475","22207","32641","39925","58153","63358","44096","40548"
"Aug 11, 2020","179071","48053","50874","95806","96998","29035","25022","37673","24147","55735","65891","39067","42408"
"Aug 04, 2020","176728","45977","60704","97040","84599","28143","25857","39773","11749","59535","67363","35038","53904"
"Jul 28, 2020","178912","39329","64738","109806","81401","24433","27429","52121","7177","57107","68113","32615","59637"
"Jul 21, 2020","180337","46230","61310","105310","84876","22798","28152","53752","6563","46547","72305","42293","55921"
"Jul 14, 2020","179340","43175","56761","111449","88541","19689","29011","63888","6587","40263","76211","43662","51879"
"Jul 07, 2020","180696","39892","56300","116764","90146","19252","29462","71266","6608","39611","79410","38060","49395"
"Jun 30, 2020","186144","34424","55414","127993","94316","19080","31767","81609","6290","38041","83614","35146","49401"
"Jun 23, 2020","170455","29654","48170","117032","89355","19170","28331","71059","6322","39865","78468","29090","42699"
