Commitments of Traders Historical Report for "NZD"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Dec 29, 2020","47915","27839","15305","13417","29372","6287","2866","3445","17858","18335","6795","17162","18206"
"Dec 21, 2020","48309","28710","15056","12722","29532","6122","2966","2626","18308","18839","6131","16815","18610"
"Dec 15, 2020","47402","28739","14546","12113","29904","6312","2714","2345","19270","19546","6114","15368","17450"
"Dec 08, 2020","61261","34730","24180","16309","29748","6222","3333","4437","18150","19791","6112","22042","26901"
"Dec 01, 2020","55345","32806","23748","15323","27515","6452","3318","4808","17668","18384","5847","21658","25914"
"Nov 24, 2020","54640","32235","23923","15744","26966","5920","3010","4840","16532","17980","7108","21618","25182"
"Nov 17, 2020","50687","29325","20457","14910","26290","5801","3289","5052","15238","17660","7183","17876","22132"
"Nov 10, 2020","46065","25695","17978","14109","24378","5739","3187","5257","13832","16326","6486","16618","20183"
"Nov 03, 2020","40400","21903","14852","13124","21916","4831","3090","5410","11598","14054","7952","15014","15905"
"Oct 27, 2020","40388","22023","15028","13035","21996","4830","2864","5748","11693","13181","6416","15529","17361"
"Oct 20, 2020","37295","19897","13295","12339","20682","4624","2883","5892","10324","12215","7970","13475","14289"
"Oct 13, 2020","38209","20227","13737","12963","20833","4458","3078","4729","10305","11788","7296","15447","15123"
"Oct 06, 2020","34612","16755","11665","12465","19349","4452","2658","5332","8658","10859","6595","12028","13894"
"Sep 29, 2020","35923","17100","13771","13188","18410","4735","2842","5782","7567","11110","9046","12152","13508"
"Sep 22, 2020","35216","16700","11840","12271","19900","5469","2700","6087","8685","11810","6907","9879","14032"
"Sep 15, 2020","35834","18002","14760","12201","17549","5166","3060","5943","6524","11120","9485","12147","14143"
"Sep 08, 2020","44047","20109","15209","16486","22988","4907","3305","7355","8397","10948","9180","13635","15088"
"Sep 01, 2020","40244","21434","14468","12856","21887","5335","3270","7375","10142","11725","8404","14450","16001"
"Aug 25, 2020","36678","19756","15568","11590","16866","4482","3394","6420","9272","11115","4655","13355","16643"
