Commitments of Traders Historical Report for "CHF"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Feb 08, 2022","41481","1234","10633","30215","13297","9838","17357","25221","2065","2319","11722","2462","8210"
"Feb 01, 2022","41054","698","8937","30161","13620","10103","18405","24206","2640","3012","12608","1926","5108"
"Jan 25, 2022","39742","1999","10795","27591","14112","9996","14679","20584","2719","4047","11589","3282","8436"
"Jan 18, 2022","39871","925","11735","26828","13029","11951","14940","20915","1880","3374","12626","2192","8500"
"Jan 11, 2022","42713","4571","12231","27897","12298","10124","18063","22141","2129","3734","13298","5871","7894"
"Jan 04, 2022","42251","4510","14039","26204","11576","11466","16565","19582","2104","4272","12842","5691","9014"
"Dec 28, 2021","40122","1043","11761","26286","11060","12618","17126","18957","1481","4859","13857","2260","5744"
"Dec 21, 2021","40920","2460","11687","27344","11399","11046","17764","19275","1500","5633","15111","3677","4777"
"Dec 14, 2021","38467","1344","9680","25786","10978","11302","17774","18656","1497","4699","14393","2643","3157"
"Dec 07, 2021","51229","2838","14891","33542","13196","11696","19989","26326","1539","4602","15864","3651","8883"
"Nov 30, 2021","50543","3927","18109","33377","12202","12363","19356","27107","1636","4069","17049","4745","9764"
"Nov 23, 2021","52412","6241","17617","34403","12881","11695","21841","27938","1706","3833","16660","7646","10905"
"Nov 16, 2021","49320","5502","14391","31663","12896","12048","21926","25484","2073","3452","14108","6880","9757"
"Nov 09, 2021","51546","4690","21733","32499","11965","14095","17586","24527","2316","5018","12573","6060","17225"
"Nov 02, 2021","51613","1439","22087","36456","10959","13485","18334","29832","1543","4215","12992","2809","17472"
"Oct 26, 2021","54305","1246","20625","43355","10993","9360","22343","37914","1549","3365","15157","2670","14260"
"Oct 19, 2021","55600","2365","19949","44662","11309","8549","24318","39672","2113","2833","15663","3862","12822"
"Oct 12, 2021","57341","3560","16532","45327","15364","8435","25426","40361","2085","2418","21762","5081","7022"
"Oct 05, 2021","55970","2274","17953","44633","15047","9051","22958","38819","1475","2660","23308","4447","6764"
"Sep 28, 2021","58506","6734","18321","42675","14617","9060","25531","37294","1629","2164","21363","9147","9142"
"Sep 21, 2021","56838","7447","16664","40201","15704","9004","24284","33740","1646","2143","21235","10499","8696"
"Sep 14, 2021","45513","6170","12048","30053","12479","9048","20744","23384","1741","2624","14161","8551","6794"
"Sep 07, 2021","44573","11671","11451","21419","12630","10810","19819","14788","1736","2157","12827","13537","6743"
"Aug 31, 2021","43060","14259","10284","18116","15375","10411","17127","11190","5092","2844","12301","16158","5916"
"Aug 24, 2021","43703","14608","10514","18206","14914","10746","18132","12246","5072","2154","12368","16366","5773"
"Aug 17, 2021","44005","14354","8807","19211","15934","10255","19079","12324","5141","2493","11548","16347","5484"
"Aug 10, 2021","45159","18537","8859","17089","15163","9092","20696","11688","5226","2480","11943","20375","5603"
"Aug 03, 2021","42456","16522","8979","13804","14788","12065","18624","7892","5800","2570","10686","18350","5600"
"Jul 27, 2021","44784","18262","9773","17602","15945","8827","18973","10995","5862","2171","12662","20296","4625"
"Jul 20, 2021","44735","18061","10019","18646","14850","7993","19831","12073","5833","2624","12697","20510","4197"
"Jul 13, 2021","45704","18074","10937","18707","16482","8825","18187","12630","5987","2301","13034","20515","6421"
"Jul 06, 2021","44739","19230","9068","15763","16209","9595","19311","10219","5800","2185","12776","21735","5205"
"Jun 29, 2021","42684","18941","7876","12669","15910","10865","18689","7110","6477","2589","10300","21447","5903"
"Jun 22, 2021","41889","20980","7428","10103","16188","10676","18143","4494","6477","2938","9494","23014","6368"
"Jun 15, 2021","37057","14875","5488","7231","15627","14949","15940","1435","6669","5197","7908","14861","5285"
"Jun 08, 2021","49202","12649","11573","19564","21735","16922","15827","9746","10823","6385","7006","12850","11607"
"Jun 01, 2021","46004","13940","13616","17008","16869","14971","15434","9914","10274","6697","7607","13785","11412"
"May 25, 2021","43521","12223","13426","17997","14318","13233","15709","11361","8219","5951","7628","12530","10876"
"May 18, 2021","44162","11115","15380","17781","12779","15059","15796","11466","6914","5409","8019","11657","12219"
"May 11, 2021","41585","10381","13232","17103","12025","13862","16089","11523","5953","4346","8364","11538","10220"
"May 04, 2021","39526","10276","10220","18260","10553","10768","18531","13580","4458","3000","8310","11941","7347"
"Apr 27, 2021","40783","11116","11802","19301","9250","10126","19491","13589","3197","4252","9158","12248","7726"
"Apr 20, 2021","41266","11264","12906","20329","8053","9550","20184","14968","2271","3429","10155","12867","7561"
"Apr 13, 2021","42423","12965","12141","19426","8795","9909","21364","15455","2268","2024","11534","14568","6147"
"Apr 06, 2021","43677","15690","12445","18970","8184","8848","22879","14595","1845","2415","13330","17313","4474"
"Mar 30, 2021","42770","16086","11817","17012","7055","9414","23640","12628","1708","2325","11898","17799","4277"
"Mar 23, 2021","38302","12458","9586","16211","7162","9474","21395","11281","1359","2431","10632","14565","3722"
"Mar 16, 2021","37985","13297","8626","15984","6971","8479","22163","11125","1343","2311","9956","15450","3260"
"Mar 09, 2021","57348","23614","9221","21844","26982","9994","19249","17190","19521","2441","9651","25136","5697"
"Mar 02, 2021","52707","21863","9602","18459","25535","11522","16707","13221","19420","3758","7537","23059","7253"
"Feb 23, 2021","53002","21561","10038","14875","27410","15694","14682","9374","21329","4152","7196","22430","7801"
"Feb 16, 2021","48093","15745","7374","13748","27839","18061","12341","7167","21768","5229","6723","16651","5634"
"Feb 09, 2021","48656","18778","7370","13017","27754","16777","13448","6992","21775","4709","6706","19701","5608"
"Feb 02, 2021","50832","22159","7518","8973","28406","19606","14814","2965","22470","5003","5875","22540","6313"
"Jan 26, 2021","48337","17638","7546","8313","28819","22340","11926","1712","22541","7058","6420","16786","6367"
"Jan 19, 2021","48530","17706","8286","9002","28395","21820","11847","1343","22605","8701","5476","16107","7402"
"Jan 12, 2021","50164","20421","8446","8802","29632","20938","12083","1463","23788","8572","5584","18722","7756"
"Jan 05, 2021","49028","17386","8014","9246","29386","22392","11624","901","23600","9822","5376","15319","7350"
"Dec 29, 2020","52404","21496","9709","8874","30644","21850","11867","501","25283","9806","5187","19646","8982"
"Dec 21, 2020","53305","23286","12042","9209","29881","20806","11378","497","24591","10086","5054","21494","11376"
"Dec 15, 2020","48913","17177","7886","9775","28618","21842","12290","497","23232","9944","4752","15835","7360"
"Dec 08, 2020","54922","16693","6270","13535","34745","22855","12068","2775","29430","9997","4490","16361","5519"
"Dec 01, 2020","51683","19860","5209","12638","32933","19128","13484","3418","27411","8669","5100","19837","4576"
"Nov 24, 2020","50388","20117","5131","13589","33068","16568","12075","3397","27658","9684","4914","20044","4565"
"Nov 17, 2020","50775","19929","5005","13483","32723","17269","12953","2719","27451","10111","4594","19849","4469"
"Nov 10, 2020","52528","21403","5539","12372","33172","18566","13630","2292","28069","10040","4659","21007","5070"
"Nov 03, 2020","51092","20775","5880","12379","31983","17798","13089","3142","26919","9404","4014","19617","5462"
"Oct 27, 2020","52735","22189","6686","11217","33025","19177","12872","2403","27741","10921","4222","19096","6285"
"Oct 20, 2020","52755","21682","7283","11732","32388","19219","12962","2163","27018","12541","4744","18632","7348"
"Oct 13, 2020","47725","16896","4724","11426","29455","19253","13396","1630","24043","10723","4769","15420","4335"
"Oct 06, 2020","45038","16941","3845","10175","28928","17893","12236","2005","23681","8971","4356","15343","3456"
"Sep 29, 2020","47666","19166","6425","10530","29138","17546","11679","2051","22297","8486","6484","18327","5467"
"Sep 22, 2020","51875","21684","5768","11112","33004","18931","12955","1003","26782","11314","6247","20028","4809"
"Sep 15, 2020","52411","18649","6583","12894","34901","20863","10922","0","28676","14121","6171","16900","5631"
"Sep 08, 2020","52562","18440","6913","12185","33788","21739","11663","0","27699","11827","6471","17728","4977"
"Sep 01, 2020","54037","19263","7666","11890","36030","22732","10189","0","29410","12380","7320","17863","5571"
"Aug 25, 2020","53085","18344","6478","13021","36967","21593","9513","0","31321","13902","6196","16975","4957"
"Aug 18, 2020","56114","20774","6267","12719","39696","22371","9901","0","34193","13004","5326","19794","5268"
"Aug 11, 2020","56592","23084","5919","12731","39999","20693","10590","0","34121","12657","4932","22212","5438"
"Aug 04, 2020","56772","21760","10100","14628","36477","20250","10061","0","31183","14262","4641","21473","9619"
"Jul 28, 2020","51799","17654","9212","14018","32141","20118","10437","0","25676","13166","5425","17466","8732"
"Jul 21, 2020","51006","17761","10382","14952","29961","18074","10444","0","23100","13472","5515","17895","9895"
"Jul 14, 2020","48430","16526","9469","14482","28589","17412","10362","0","21704","12296","5511","17594","9238"
"Jul 07, 2020","45115","12832","9054","15528","25310","16723","10719","0","18456","11943","5500","15438","8942"
"Jun 30, 2020","41400","12796","8458","13995","22905","14598","10026","0","16904","9764","5400","16076","7621"
"Jun 23, 2020","42299","11739","10291","15131","21803","15426","10202","0","16026","9993","5385","15981","9301"
"Jun 16, 2020","35733","9150","7544","12869","18526","13697","9646","0","12786","7582","4754","13631","7231"
