Commitments of Traders Historical Report for "JPY"
,,Non-Commercial Positions,,Commercial Positions,,Non-Reportable Positions,,Dealer Positions,,Asset Manager Positions,,Leveraged Funds Positions,,
Date,Open Interest,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,Long,Short,
"Sep 21, 2021","191213","22844","78915","146680","80086","19685","30208","93824","26021","47495","72592","19906","52543"
"Sep 14, 2021","192088","21728","82023","146716","78681","21950","29690","96137","20272","44771","77215","19829","55113"
"Sep 07, 2021","204435","29704","92029","151585","73003","18896","35153","92070","1492","43864","82791","29624","65059"
"Aug 31, 2021","193999","29030","92160","144849","65434","18955","35240","97773","3461","41607","88173","28437","59939"
"Aug 24, 2021","194477","26763","93434","147612","65542","19080","34479","99138","3841","42155","85133","26013","62950"
"Aug 17, 2021","196495","27532","90740","147403","69312","20156","35039","97280","3692","42934","85716","27637","63576"
"Aug 10, 2021","206131","36684","97341","151720","68459","17266","39870","103406","1921","41771","85319","37354","71652"
"Aug 03, 2021","189242","30409","85599","136596","68989","21174","33591","90646","5279","39498","76409","29822","66104"
"Jul 27, 2021","196102","32975","92909","143819","68805","18589","33669","96706","2036","40676","83413","31715","69439"
"Jul 20, 2021","192301","35474","91205","138577","67311","17695","33230","90790","4720","42741","74012","32804","72939"
"Jul 13, 2021","203727","40440","96690","145716","70980","16520","35006","96224","4663","40313","75674","39052","76728"
"Jul 06, 2021","205341","31625","100761","155707","63576","16701","39696","105631","1862","38839","78359","32680","73029"
"Jun 29, 2021","195698","27380","97275","149165","57450","18496","40316","99898","835","42985","69061","26020","76282"
"Jun 22, 2021","190545","34118","87980","138242","62072","16991","39299","89044","1485","42821","64346","32954","75791"
"Jun 15, 2021","155359","22974","69824","112798","47481","18879","37346","63712","900","44634","46383","20987","64417"
"Jun 08, 2021","161592","27248","64562","108879","54611","21222","38176","55126","6791","46577","45101","24831","57822"
"Jun 01, 2021","162091","29462","76577","110690","48111","19467","34931","62180","6064","44406","40565","25947","70002"
"May 25, 2021","153196","24163","74319","107377","46024","19120","30317","57698","7890","44828","35167","20897","68564"
"May 18, 2021","154727","24965","75913","107486","43385","19433","32586","59418","6181","43603","35375","21343","69183"
"May 11, 2021","152404","30491","72219","99644","44421","20052","33547","50064","10078","46216","32788","25983","66036"
"May 04, 2021","152676","31208","72700","99092","44761","20288","33127","47343","11375","48048","33073","27394","65632"
"Apr 27, 2021","154894","29673","78182","103999","42071","19987","33406","47369","10834","50237","31126","28779","71140"
"Apr 20, 2021","162649","26617","86436","115715","39632","18258","34522","57722","8784","48865","37728","27869","72414"
"Apr 13, 2021","165431","27682","85994","119216","40446","17761","38219","57485","6352","54076","49595","28458","63748"
"Apr 06, 2021","164310","26794","84783","117846","39309","18907","39455","54124","6134","57282","48575","26100","62386"
"Mar 30, 2021","166091","24724","84205","121115","40234","18838","40238","48484","7277","67615","44377","22715","65897"
"Mar 23, 2021","160581","27524","81049","112098","39186","19405","38792","37802","6936","69874","39545","23035","66682"
"Mar 16, 2021","145951","26003","65371","99385","43104","18453","35366","26005","11713","71063","35249","21051","54898"
"Mar 09, 2021","211347","64027","57513","122099","111283","20013","37343","45628","77961","75218","32152","43612","50648"
"Mar 02, 2021","189270","61259","41989","101787","113100","21863","29820","23390","81975","78840","21129","35924","42452"
